report_date,original_value,strict_5tc,status,pattern,source_sentence,source
2021-12-13,1344.0,40035.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 49 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 49 13 December 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market peaked mid-week from its recent rally as the 5TC marked down -$1344 on the last day of the week to settle at $40,035.",https://www.drycargomag.com/dry-bulk-week-49-2021
2022-01-10,2022.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-1-2022
2022-01-17,7760.0,12407.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 2 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 2 17 January 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market endured a somewhat traditional post-holiday Q1 drop as the 5TC descended -7760 over the week to settle at $12,407.",https://www.drycargomag.com/dry-bulk-week-2-2022
2022-01-24,7390.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-3-2022
2022-01-31,7390.0,8918.0,ACCEPT,"\bsettling\b.{0,40}?\$([0-9][0-9,]*(?:\.[0-9]+)?)","The 5TC weighted average opened the week at $7,390, descended to a low of $5,826 before settling at week’s end to $8,918.",https://www.drycargomag.com/dry-bulk-week-4-2022
2022-02-07,10302.0,10302.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","Dry Bulk: Week 5 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 5 07 February 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market traded sideways this week as the 5TC closed at $10,302, an improvement of +1384 over the week.",https://www.drycargomag.com/dry-bulk-week-5-2022
2022-02-14,5095.0,15397.0,ACCEPT,explicit_to_close_settle_finish,"Activity was clearly seen to be elevated as the Capesize 5TC rose +5095 over the week to close on a mild Friday at $15,397.",https://www.drycargomag.com/dry-bulk-report-week-6-2022
2022-02-21,1888.0,13888.0,ACCEPT,explicit_to_close_settle_finish,"Closing Friday some reprieve was found as the Capesize 5TC closed on a positive up note +1888 to settle at $13,888.",https://www.drycargomag.com/dry-bulk-week-7-2022
2022-02-28,18181.0,14026.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC reached a high of $18,181 Wednesday before shedding -4155 by weeks end to close at $14,026.",https://www.drycargomag.com/dry-bulk-report-week-8-2022
2022-03-14,8635.0,22195.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 10 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 10 / 2022 14 March 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market appeared to get caught up in the wider market rallies this week as geopolitical tensions run high, with the 5TC lifting $8635 over the week to settle at $22,195.",https://www.drycargomag.com/dry-bulk-week-10-2022
